region,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
ATCMA,media,Insuficiente,55.40%,60.00%,59.20%,12.10%,55.40%,55.80%,28.10%,55.40%,75.00%,65.60%,60.40%,43.30%,12.10%,55.40%,52.40%,58.80%,55.40%,55.00%,61.00%,55.40%,55.20%,62.10%,55.40%,53.50%,89.60%
ATCMA,media,Elemental,29.00%,27.90%,29.20%,31.90%,29.00%,28.70%,53.10%,29.00%,21.20%,25.80%,27.20%,37.40%,31.90%,29.00%,30.40%,27.40%,29.00%,29.00%,29.10%,29.00%,29.10%,25.30%,29.00%,30.10%,9.60%
ATCMA,media,Adecuado,15.60%,12.10%,11.70%,56.00%,15.60%,15.60%,18.80%,15.60%,3.80%,8.60%,12.40%,19.20%,56.00%,15.60%,17.20%,13.80%,15.60%,16.00%,9.90%,15.60%,15.70%,12.60%,15.60%,16.40%,0.80%
ATCMA,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
AYP,media,Insuficiente,47.20%,57.50%,43.20%,22.20%,47.20%,46.20%,75.30%,47.20%,74.10%,67.10%,39.30%,35.00%,22.20%,47.20%,44.00%,50.60%,47.20%,46.90%,48.00%,47.20%,45.80%,57.50%,47.20%,45.10%,79.60%
AYP,media,Elemental,32.10%,29.20%,33.40%,38.10%,32.10%,32.50%,20.00%,32.10%,21.50%,28.10%,34.50%,36.30%,38.10%,32.10%,33.10%,31.10%,32.10%,32.40%,31.30%,32.10%,33.00%,25.20%,32.10%,33.10%,17.20%
AYP,media,Adecuado,20.70%,13.40%,23.40%,39.70%,20.70%,21.20%,4.70%,20.70%,4.40%,4.80%,26.20%,28.60%,39.70%,20.70%,22.90%,18.30%,20.70%,20.70%,20.70%,20.70%,21.10%,17.30%,20.70%,21.80%,3.20%
AYP,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
AYSEN,media,Insuficiente,50.80%,64.50%,43.80%,0.00%,50.80%,49.80%,57.60%,50.80%,77.60%,59.50%,46.20%,28.80%,20.50%,50.80%,48.30%,53.70%,50.80%,49.50%,56.90%,50.80%,50.70%,55.60%,50.80%,46.60%,82.70%
AYSEN,media,Elemental,32.10%,26.90%,34.80%,0.00%,32.10%,32.60%,28.80%,32.10%,19.40%,30.00%,36.30%,41.00%,31.80%,32.10%,30.70%,33.80%,32.10%,32.90%,28.40%,32.10%,32.20%,27.80%,32.10%,34.50%,14.30%
