comuna,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
CALAMA,basica,Adecuado,22.5%,24.1%,15.5%,42.3%,22.5%,22.5%,28.6%,22.5%,0.0%,18.8%,20.3%,23.6%,42.3%,22.5%,26.6%,18.4%,22.4%,22.7%,21.5%,22.6%,22.7%,21.9%,22.6%,24.1%,3.4%
CALAMA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CALBUCO,basica,Insuficiente,40.3%,48.5%,31.6%,0.0%,40.3%,32.6%,50.3%,40.3%,52.5%,44.0%,32.1%,0.0%,0.0%,40.3%,37.6%,43.2%,40.5%,37.5%,47.5%,40.4%,40.2%,50.0%,40.4%,32.4%,75.3%
CALBUCO,basica,Elemental,39.7%,37.1%,42.5%,0.0%,39.7%,43.8%,34.5%,39.7%,35.6%,37.5%,43.5%,0.0%,0.0%,39.7%,40.5%,38.9%,39.9%,42.5%,33.9%,39.8%,40.7%,0.0%,39.8%,43.9%,21.9%
CALBUCO,basica,Adecuado,20.0%,14.4%,25.9%,0.0%,20.0%,23.7%,15.2%,20.0%,11.9%,18.5%,24.4%,0.0%,0.0%,20.0%,21.9%,17.8%,19.6%,20.0%,18.6%,19.8%,19.2%,50.0%,19.8%,23.7%,2.7%
CALBUCO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CALDERA,basica,Insuficiente,48.1%,46.2%,48.3%,0.0%,48.1%,48.1%,0.0%,48.1%,0.0%,46.2%,39.4%,61.7%,0.0%,48.1%,33.9%,60.9%,48.5%,49.2%,25.0%,48.1%,48.0%,50.0%,48.1%,47.7%,100.0%
CALDERA,basica,Elemental,37.4%,46.2%,36.4%,0.0%,37.4%,37.4%,0.0%,37.4%,0.0%,46.2%,39.4%,31.9%,0.0%,37.4%,46.8%,29.0%,36.9%,37.3%,25.0%,37.4%,37.6%,33.3%,37.4%,37.7%,0.0%
CALDERA,basica,Adecuado,14.5%,7.7%,15.3%,0.0%,14.5%,14.5%,0.0%,14.5%,0.0%,7.7%,21.1%,6.4%,0.0%,14.5%,19.4%,10.1%,14.6%,13.5%,50.0%,14.5%,14.4%,16.7%,14.5%,14.6%,0.0%
CALDERA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
