slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
DEL PINO,media,Insuficiente,54.4%,74.4%,53.5%,23.0%,54.4%,54.5%,49.1%,54.4%,68.3%,63.4%,48.5%,37.8%,23.0%,54.4%,50.1%,58.7%,54.4%,54.1%,60.9%,54.4%,54.0%,64.1%,54.4%,52.7%,87.7%
DEL PINO,media,Elemental,31.9%,19.9%,33.8%,35.2%,31.9%,32.2%,23.0%,31.9%,25.8%,28.4%,36.8%,40.0%,35.2%,31.9%,33.3%,30.6%,31.9%,32.0%,29.9%,31.9%,32.1%,27.4%,31.9%,33.0%,11.1%
DEL PINO,media,Adecuado,13.7%,5.6%,12.7%,41.8%,13.7%,13.3%,27.9%,13.7%,6.0%,8.2%,14.7%,22.2%,41.8%,13.7%,16.6%,10.7%,13.7%,13.9%,9.3%,13.7%,13.9%,8.5%,13.7%,14.3%,1.2%
DEL PINO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAPOCHO,media,Insuficiente,48.1%,75.3%,47.6%,16.7%,48.1%,48.1%,0.0%,48.1%,78.2%,56.6%,56.2%,34.7%,16.7%,48.1%,43.7%,52.6%,48.0%,47.9%,52.4%,48.0%,43.9%,62.2%,48.0%,45.9%,84.2%
MAPOCHO,media,Elemental,32.2%,20.5%,36.0%,30.9%,32.2%,32.2%,0.0%,32.2%,19.2%,31.3%,31.2%,42.1%,30.9%,32.2%,32.5%,31.9%,32.2%,32.2%,33.0%,32.3%,33.8%,27.1%,32.3%,33.2%,15.8%
MAPOCHO,media,Adecuado,19.7%,4.2%,16.4%,52.4%,19.7%,19.7%,0.0%,19.7%,2.6%,12.1%,12.6%,23.2%,52.4%,19.7%,23.8%,15.5%,19.7%,19.9%,14.6%,19.7%,22.4%,10.8%,19.7%,20.9%,0.0%
MAPOCHO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTA ROSA,media,Insuficiente,52.7%,64.9%,51.8%,29.4%,52.7%,52.7%,0.0%,52.7%,70.4%,58.4%,52.3%,39.0%,23.1%,52.7%,48.6%,57.0%,52.7%,52.6%,55.2%,52.7%,51.7%,59.9%,52.7%,50.8%,78.7%
SANTA ROSA,media,Elemental,33.4%,30.0%,33.6%,40.5%,33.4%,33.4%,0.0%,33.4%,24.6%,31.7%,34.7%,39.2%,36.1%,33.4%,34.9%,31.7%,33.4%,33.4%,32.2%,33.4%,34.0%,29.0%,33.4%,34.5%,18.6%
SANTA ROSA,media,Adecuado,13.9%,5.0%,14.6%,30.1%,13.9%,13.9%,0.0%,13.9%,5.0%,9.9%,13.0%,21.8%,40.8%,13.9%,16.5%,11.3%,13.9%,14.0%,12.6%,13.9%,14.3%,11.1%,13.9%,14.8%,2.7%
SANTA ROSA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LA QUEBRADA,media,Insuficiente,41.4%,52.5%,46.8%,18.6%,41.4%,41.4%,0.0%,41.4%,85.3%,60.4%,54.8%,32.1%,18.3%,41.4%,37.6%,45.4%,41.3%,40.9%,54.9%,41.3%,40.2%,51.9%,41.3%,39.7%,76.0%
LA QUEBRADA,media,Elemental,34.3%,28.2%,35.4%,36.8%,34.3%,34.3%,0.0%,34.3%,13.7%,30.6%,32.6%,37.7%,37.0%,34.3%,35.7%,32.9%,34.3%,34.4%,32.0%,34.3%,34.8%,29.4%,34.3%,35.0%,20.7%
LA QUEBRADA,media,Adecuado,24.3%,19.3%,17.8%,44.7%,24.3%,24.3%,0.0%,24.3%,1.1%,9.1%,12.6%,30.2%,44.7%,24.3%,26.8%,21.7%,24.3%,24.7%,13.0%,24.3%,24.9%,18.7%,24.3%,25.3%,3.3%
LA QUEBRADA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MANQUEHUE,media,Insuficiente,19.1%,35.0%,38.9%,8.7%,19.1%,19.1%,0.0%,19.1%,0.0%,57.2%,43.5%,29.8%,9.7%,19.1%,16.4%,21.7%,19.0%,18.8%,45.2%,19.1%,18.6%,26.2%,19.1%,17.6%,66.1%
MANQUEHUE,media,Elemental,30.4%,36.6%,36.5%,26.8%,30.4%,30.4%,0.0%,30.4%,0.0%,33.3%,35.4%,37.7%,27.4%,30.4%,27.8%,32.9%,30.4%,30.4%,33.3%,30.4%,30.3%,32.8%,30.4%,30.6%,26.1%
MANQUEHUE,media,Adecuado,50.5%,28.4%,24.5%,64.5%,50.5%,50.5%,0.0%,50.5%,0.0%,9.5%,21.2%,32.4%,63.0%,50.5%,55.8%,45.4%,50.6%,50.9%,21.5%,50.5%,51.1%,41.0%,50.5%,51.9%,7.8%
MANQUEHUE,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
GABRIELA MISTRAL,media,Insuficiente,49.3%,69.5%,46.7%,9.0%,49.3%,49.3%,0.0%,49.3%,79.1%,59.5%,44.9%,33.1%,9.0%,49.3%,46.9%,52.4%,49.1%,48.2%,62.3%,49.1%,47.4%,58.9%,49.1%,46.6%,85.2%
GABRIELA MISTRAL,media,Elemental,32.1%,25.6%,33.3%,39.3%,32.1%,32.1%,0.0%,32.1%,19.2%,25.0%,37.3%,39.4%,39.3%,32.1%,31.1%,33.5%,32.1%,32.3%,28.9%,32.2%,32.9%,28.3%,32.2%,33.5%,13.0%
GABRIELA MISTRAL,media,Adecuado,18.6%,4.9%,20.0%,51.7%,18.6%,18.6%,0.0%,18.6%,1.7%,15.5%,17.8%,27.5%,51.7%,18.6%,22.0%,14.1%,18.8%,19.4%,8.8%,18.7%,19.7%,12.8%,18.7%,19.9%,1.7%
GABRIELA MISTRAL,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MELIPILLA,media,Insuficiente,56.7%,76.2%,47.1%,19.4%,56.7%,54.8%,82.8%,56.7%,72.8%,61.0%,62.2%,27.1%,19.4%,56.7%,54.5%,58.7%,56.7%,56.3%,70.8%,56.7%,56.3%,64.4%,56.7%,53.8%,86.4%
MELIPILLA,media,Elemental,28.2%,18.2%,35.2%,31.6%,28.2%,29.3%,13.1%,28.2%,20.2%,27.2%,28.9%,42.8%,31.6%,28.2%,28.3%,28.1%,28.2%,28.3%,23.1%,28.2%,28.2%,27.9%,28.2%,29.8%,11.0%
MELIPILLA,media,Adecuado,15.1%,5.6%,17.7%,49.0%,15.1%,15.9%,4.1%,15.1%,6.9%,11.8%,8.9%,30.1%,49.0%,15.1%,17.1%,13.2%,15.2%,15.4%,6.2%,15.1%,15.5%,7.7%,15.1%,16.3%,2.6%
MELIPILLA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
BARRANCAS,media,Insuficiente,54.2%,70.5%,50.9%,15.7%,54.2%,54.3%,50.0%,54.2%,75.5%,58.5%,48.1%,44.9%,15.7%,54.2%,49.0%,59.3%,54.1%,53.8%,57.2%,54.1%,52.3%,67.7%,54.1%,51.3%,83.4%
BARRANCAS,media,Elemental,31.0%,24.6%,32.1%,48.3%,31.0%,30.9%,35.7%,31.0%,22.1%,28.4%,35.4%,31.7%,48.3%,31.0%,32.6%,29.3%,31.0%,31.3%,28.3%,31.0%,31.9%,24.2%,31.0%,32.5%,16.0%
BARRANCAS,media,Adecuado,14.8%,4.9%,17.0%,36.0%,14.8%,14.8%,14.3%,14.8%,2.4%,13.1%,16.4%,23.3%,36.0%,14.8%,18.4%,11.4%,14.9%,15.0%,14.5%,14.9%,15.8%,8.1%,14.9%,16.3%,0.6%
BARRANCAS,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS VIÑEDOS,media,Insuficiente,46.3%,68.3%,44.7%,18.9%,46.3%,45.4%,59.1%,46.3%,72.9%,55.8%,47.4%,39.0%,18.1%,46.3%,43.2%,49.7%,46.3%,46.1%,50.0%,46.3%,45.5%,65.9%,46.3%,44.0%,80.7%
LOS VIÑEDOS,media,Elemental,36.0%,25.7%,37.1%,42.4%,36.0%,36.1%,34.5%,36.0%,24.3%,32.3%,38.0%,37.8%,43.5%,36.0%,36.7%,35.4%,36.1%,36.1%,33.9%,36.1%,36.5%,25.7%,36.1%,37.3%,16.5%
LOS VIÑEDOS,media,Adecuado,17.7%,6.0%,18.2%,38.7%,17.7%,18.5%,6.5%,17.7%,2.7%,11.9%,14.6%,23.2%,38.3%,17.7%,20.2%,14.9%,17.7%,17.7%,16.1%,17.7%,18.1%,8.4%,17.7%,18.6%,2.8%
LOS VIÑEDOS,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS PARQUES,media,Insuficiente,56.2%,65.6%,53.5%,0.0%,56.2%,56.2%,0.0%,56.2%,76.1%,58.5%,49.8%,32.6%,0.0%,56.2%,51.7%,61.9%,56.2%,55.8%,61.3%,56.2%,54.1%,68.8%,56.2%,55.3%,85.6%
LOS PARQUES,media,Elemental,32.4%,25.7%,34.4%,0.0%,32.4%,32.4%,0.0%,32.4%,18.9%,32.8%,34.3%,39.8%,0.0%,32.4%,34.9%,29.3%,32.4%,32.6%,30.4%,32.4%,33.5%,25.5%,32.4%,33.0%,13.3%
LOS PARQUES,media,Adecuado,11.4%,8.7%,12.2%,0.0%,11.4%,11.4%,0.0%,11.4%,4.9%,8.7%,15.9%,27.7%,0.0%,11.4%,13.4%,8.8%,11.4%,11.6%,8.2%,11.4%,12.3%,5.7%,11.4%,11.7%,1.1%
LOS PARQUES,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TALAGANTE,media,Insuficiente,52.3%,56.2%,54.8%,21.3%,52.3%,52.3%,50.0%,52.3%,73.4%,63.4%,52.7%,35.0%,19.5%,52.3%,49.2%,55.5%,52.3%,51.9%,62.2%,52.3%,51.7%,66.2%,52.3%,50.4%,81.9%
TALAGANTE,media,Elemental,32.5%,29.7%,33.4%,32.7%,32.5%,32.5%,30.6%,32.5%,24.8%,28.1%,33.5%,42.6%,32.2%,32.5%,33.3%,31.6%,32.5%,32.6%,27.6%,32.5%,32.8%,25.6%,32.5%,33.5%,17.2%
TALAGANTE,media,Adecuado,15.2%,14.2%,11.8%,46.0%,15.2%,15.2%,19.4%,15.2%,1.7%,8.6%,13.8%,22.4%,48.3%,15.2%,17.5%,12.9%,15.3%,15.4%,10.2%,15.2%,15.5%,8.3%,15.2%,16.2%,0.9%
TALAGANTE,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COSTA COLCHAGUA,media,Insuficiente,53.1%,65.9%,29.1%,3.8%,53.1%,53.1%,0.0%,53.1%,65.9%,0.0%,27.8%,32.0%,3.8%,53.1%,46.5%,59.7%,53.1%,53.0%,57.6%,53.1%,53.4%,43.5%,53.1%,49.5%,80.5%
COSTA COLCHAGUA,media,Elemental,29.1%,27.4%,34.0%,15.4%,29.1%,29.1%,0.0%,29.1%,27.4%,0.0%,31.1%,40.2%,15.4%,29.1%,29.5%,28.7%,29.1%,28.9%,36.4%,29.1%,28.7%,47.8%,29.1%,31.3%,12.7%
COSTA COLCHAGUA,media,Adecuado,17.8%,6.7%,36.9%,80.8%,17.8%,17.8%,0.0%,17.8%,6.7%,0.0%,41.1%,27.8%,80.8%,17.8%,24.0%,11.7%,17.8%,18.2%,6.1%,17.8%,18.0%,8.7%,17.8%,19.2%,6.8%
COSTA COLCHAGUA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALLE CACHAPOAL,media,Insuficiente,59.9%,67.9%,47.3%,0.0%,59.9%,58.3%,74.1%,59.9%,75.7%,49.0%,46.3%,36.8%,0.0%,59.9%,57.8%,62.1%,59.9%,59.6%,73.1%,59.9%,59.4%,71.4%,59.9%,57.3%,89.4%
VALLE CACHAPOAL,media,Elemental,28.6%,26.1%,32.4%,0.0%,28.6%,29.2%,23.1%,28.6%,20.5%,39.1%,31.2%,42.4%,0.0%,28.6%,29.1%,28.0%,28.6%,28.6%,26.9%,28.6%,28.9%,19.6%,28.6%,30.2%,9.7%
VALLE CACHAPOAL,media,Adecuado,11.6%,6.0%,20.3%,0.0%,11.6%,12.6%,2.8%,11.6%,3.8%,11.9%,22.5%,20.8%,0.0%,11.6%,13.1%,10.0%,11.6%,11.8%,0.0%,11.6%,11.7%,8.9%,11.6%,12.5%,0.9%
VALLE CACHAPOAL,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CACHAPOAL COSTA,media,Insuficiente,58.4%,71.5%,40.5%,0.0%,58.4%,55.8%,81.9%,58.4%,77.5%,62.0%,45.9%,33.3%,0.0%,58.4%,53.2%,63.5%,58.5%,57.9%,77.1%,58.5%,58.4%,62.5%,58.5%,55.0%,87.9%
CACHAPOAL COSTA,media,Elemental,29.0%,22.9%,37.4%,0.0%,29.0%,30.6%,15.0%,29.0%,20.7%,26.9%,35.1%,40.1%,0.0%,29.0%,30.6%,27.4%,29.0%,29.2%,20.0%,29.0%,28.9%,33.3%,29.0%,31.4%,8.3%
CACHAPOAL COSTA,media,Adecuado,12.6%,5.6%,22.1%,0.0%,12.6%,13.6%,3.1%,12.6%,1.8%,11.1%,19.0%,26.6%,0.0%,12.6%,16.1%,9.1%,12.6%,12.8%,2.9%,12.6%,12.7%,4.2%,12.6%,13.6%,3.8%
CACHAPOAL COSTA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CARDENAL CARO,media,Insuficiente,55.4%,57.0%,46.6%,0.0%,55.4%,55.4%,0.0%,55.4%,66.7%,55.4%,46.6%,0.0%,0.0%,55.4%,51.4%,59.2%,55.4%,55.2%,62.5%,55.4%,55.0%,64.3%,55.4%,50.9%,88.9%
CARDENAL CARO,media,Elemental,34.6%,35.0%,32.8%,0.0%,34.6%,34.6%,0.0%,34.6%,33.3%,35.3%,32.8%,0.0%,0.0%,34.6%,37.3%,32.1%,34.6%,34.9%,25.0%,34.6%,34.9%,28.6%,34.6%,38.1%,8.9%
CARDENAL CARO,media,Adecuado,10.0%,8.0%,20.7%,0.0%,10.0%,10.0%,0.0%,10.0%,0.0%,9.4%,20.7%,0.0%,0.0%,10.0%,11.4%,8.7%,10.0%,9.9%,12.5%,10.0%,10.1%,7.1%,10.0%,11.0%,2.2%
CARDENAL CARO,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CACHAPOAL NORTE,media,Insuficiente,49.7%,54.8%,55.3%,16.1%,49.7%,49.6%,53.6%,49.7%,67.3%,62.2%,50.9%,38.6%,16.1%,49.7%,47.5%,51.9%,49.6%,49.5%,58.0%,49.6%,49.3%,57.0%,49.6%,47.8%,83.7%
CACHAPOAL NORTE,media,Elemental,30.8%,33.3%,30.8%,24.5%,30.8%,30.7%,39.1%,30.8%,25.6%,30.0%,34.7%,36.1%,24.5%,30.8%,30.7%,30.9%,30.8%,30.8%,30.7%,30.8%,30.8%,32.2%,30.8%,31.7%,14.6%
CACHAPOAL NORTE,media,Adecuado,19.5%,11.9%,14.0%,59.5%,19.5%,19.7%,7.2%,19.5%,7.2%,7.8%,14.5%,25.3%,59.5%,19.5%,21.8%,17.2%,19.6%,19.7%,11.4%,19.6%,20.0%,10.7%,19.6%,20.5%,1.7%
CACHAPOAL NORTE,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COLCHAGUA,media,Insuficiente,54.3%,68.4%,51.3%,8.7%,54.3%,54.7%,43.3%,54.3%,72.0%,48.7%,41.2%,30.7%,8.7%,54.3%,52.3%,56.4%,54.3%,54.1%,72.7%,54.3%,54.1%,61.4%,54.3%,51.6%,84.0%
COLCHAGUA,media,Elemental,29.4%,25.2%,31.3%,32.7%,29.4%,29.2%,35.8%,29.4%,24.1%,31.3%,37.3%,36.5%,32.7%,29.4%,30.9%,28.0%,29.4%,29.5%,22.7%,29.4%,29.4%,31.8%,29.4%,30.8%,14.0%
COLCHAGUA,media,Adecuado,16.3%,6.4%,17.4%,58.7%,16.3%,16.1%,20.9%,16.3%,3.9%,20.0%,21.5%,32.8%,58.7%,16.3%,16.9%,15.7%,16.3%,16.4%,4.5%,16.3%,16.5%,6.8%,16.3%,17.6%,2.0%
COLCHAGUA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAULE COSTA,media,Insuficiente,52.9%,65.0%,38.3%,14.3%,52.9%,52.8%,54.5%,52.9%,73.0%,55.4%,17.3%,34.1%,14.3%,52.9%,53.0%,52.9%,52.9%,52.8%,56.4%,52.9%,52.8%,64.3%,52.9%,48.9%,85.8%
MAULE COSTA,media,Elemental,29.1%,21.9%,39.4%,19.0%,29.1%,28.7%,34.1%,29.1%,24.7%,24.4%,55.1%,41.9%,19.0%,29.1%,30.1%,28.1%,29.2%,29.0%,33.3%,29.2%,29.4%,14.3%,29.2%,31.1%,13.3%
MAULE COSTA,media,Adecuado,17.9%,13.1%,22.2%,66.7%,17.9%,18.5%,11.4%,17.9%,2.3%,20.2%,27.6%,24.0%,66.7%,17.9%,16.9%,19.0%,17.9%,18.2%,10.3%,17.9%,17.9%,21.4%,17.9%,20.0%,0.8%
MAULE COSTA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS CEREZOS,media,Insuficiente,47.3%,59.4%,44.1%,7.0%,47.3%,47.2%,50.3%,47.3%,57.7%,60.8%,35.1%,26.2%,7.0%,47.3%,44.9%,50.0%,47.3%,47.2%,50.0%,47.3%,46.7%,63.3%,47.3%,44.1%,78.0%
LOS CEREZOS,media,Elemental,33.7%,30.2%,36.2%,25.8%,33.7%,33.7%,35.2%,33.7%,32.2%,28.6%,38.5%,40.5%,25.8%,33.7%,34.3%,33.1%,33.7%,33.6%,39.0%,33.7%,34.1%,21.7%,33.7%,35.4%,17.7%
LOS CEREZOS,media,Adecuado,19.0%,10.4%,19.6%,67.2%,19.0%,19.2%,14.5%,19.0%,10.1%,10.6%,26.3%,33.3%,67.2%,19.0%,20.9%,16.9%,19.0%,19.2%,11.0%,19.0%,19.1%,15.0%,19.0%,20.5%,4.3%
LOS CEREZOS,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS ÁLAMOS,media,Insuficiente,53.0%,62.1%,42.1%,0.0%,53.0%,52.0%,67.4%,53.0%,68.8%,50.3%,40.6%,25.7%,0.0%,53.0%,49.0%,56.9%,53.0%,53.0%,55.2%,53.0%,53.0%,54.2%,53.0%,50.2%,81.5%
LOS ÁLAMOS,media,Elemental,31.8%,29.2%,35.7%,13.8%,31.8%,32.1%,27.6%,31.8%,25.5%,34.9%,38.1%,39.0%,13.8%,31.8%,33.7%,29.9%,31.8%,31.7%,36.2%,31.8%,31.8%,25.0%,31.8%,33.2%,17.6%
LOS ÁLAMOS,media,Adecuado,15.2%,8.7%,22.2%,86.2%,15.2%,16.0%,5.0%,15.2%,5.7%,14.8%,21.3%,35.3%,86.2%,15.2%,17.3%,13.3%,15.2%,15.4%,8.6%,15.2%,15.2%,20.8%,15.2%,16.6%,0.9%
LOS ÁLAMOS,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAULE VALLE,media,Insuficiente,51.5%,60.1%,49.7%,14.9%,51.5%,51.2%,63.2%,51.5%,69.8%,58.5%,47.7%,23.3%,14.9%,51.5%,49.0%,54.1%,51.5%,51.4%,55.2%,51.5%,51.3%,57.5%,51.5%,49.2%,80.4%
MAULE VALLE,media,Elemental,29.8%,27.1%,32.4%,28.5%,29.8%,29.9%,27.4%,29.8%,20.9%,31.4%,35.0%,39.9%,28.5%,29.8%,30.7%,29.0%,29.9%,29.8%,32.8%,29.8%,29.8%,31.7%,29.8%,30.9%,16.6%
MAULE VALLE,media,Adecuado,18.6%,12.8%,17.9%,56.6%,18.6%,18.9%,9.4%,18.6%,9.3%,10.0%,17.3%,36.9%,56.6%,18.6%,20.3%,16.9%,18.7%,18.8%,12.1%,18.7%,19.0%,10.8%,18.7%,19.9%,3.0%
MAULE VALLE,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALLE DIGUILLÍN,media,Insuficiente,49.9%,67.2%,45.0%,1.8%,49.9%,49.9%,50.0%,49.9%,71.7%,56.4%,43.5%,27.6%,23.0%,49.9%,48.7%,51.2%,49.9%,49.8%,55.8%,49.9%,50.0%,46.4%,49.9%,46.5%,80.2%
VALLE DIGUILLÍN,media,Elemental,34.2%,26.3%,36.9%,36.4%,34.2%,34.3%,32.8%,34.2%,23.0%,33.7%,37.3%,43.3%,42.8%,34.2%,34.1%,34.3%,34.2%,34.3%,30.8%,34.2%,34.1%,41.1%,34.2%,36.1%,17.2%
VALLE DIGUILLÍN,media,Adecuado,15.9%,6.4%,18.1%,61.8%,15.9%,15.8%,17.2%,15.9%,5.3%,9.9%,19.2%,29.1%,34.2%,15.9%,17.2%,14.5%,15.9%,15.9%,13.5%,15.9%,15.9%,12.5%,15.9%,17.4%,2.5%
VALLE DIGUILLÍN,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
PUNILLA CORDILLERA,media,Insuficiente,51.6%,58.8%,46.1%,0.0%,51.6%,51.3%,63.6%,51.6%,58.6%,64.5%,38.6%,38.8%,0.0%,51.6%,52.4%,50.8%,51.6%,51.5%,57.1%,51.6%,51.6%,53.8%,51.6%,45.7%,84.7%
PUNILLA CORDILLERA,media,Elemental,33.6%,32.6%,34.4%,0.0%,33.6%,33.7%,31.8%,33.6%,33.2%,28.3%,37.3%,37.2%,0.0%,33.6%,31.7%,35.4%,33.6%,33.6%,35.7%,33.6%,33.6%,38.5%,33.6%,37.3%,12.7%
PUNILLA CORDILLERA,media,Adecuado,14.8%,8.6%,19.5%,0.0%,14.8%,15.0%,4.5%,14.8%,8.1%,7.2%,24.1%,24.0%,0.0%,14.8%,15.9%,13.8%,14.8%,14.9%,7.1%,14.8%,14.9%,7.7%,14.8%,17.0%,2.5%
PUNILLA CORDILLERA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COSTA ITATA,media,Insuficiente,40.8%,35.4%,64.7%,0.0%,40.8%,40.4%,53.6%,40.8%,54.1%,49.1%,24.1%,55.2%,0.0%,40.8%,38.4%,43.3%,40.8%,40.9%,38.5%,40.8%,41.2%,11.1%,40.8%,35.7%,72.0%
COSTA ITATA,media,Elemental,31.4%,32.5%,26.6%,0.0%,31.4%,31.1%,39.3%,31.4%,37.8%,34.5%,24.8%,34.5%,0.0%,31.4%,32.3%,30.6%,31.4%,31.2%,46.2%,31.4%,31.5%,22.2%,31.4%,33.1%,21.5%
COSTA ITATA,media,Adecuado,27.7%,32.0%,8.6%,0.0%,27.7%,28.5%,7.1%,27.7%,8.1%,16.4%,51.1%,10.3%,0.0%,27.7%,29.3%,26.1%,27.7%,27.9%,15.4%,27.7%,27.2%,66.7%,27.7%,31.2%,6.5%
COSTA ITATA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANDALIÉN SUR,media,Insuficiente,43.3%,63.0%,41.5%,18.8%,43.3%,43.2%,70.0%,43.3%,68.9%,56.2%,49.5%,33.1%,18.8%,43.3%,39.6%,47.1%,43.3%,43.1%,52.2%,43.3%,42.9%,53.4%,43.3%,40.2%,75.5%
